Category: Picked for you
Name: RIP ROLLS GREEN APPLE 40inches | Price: LKR 3.29
Name: ROWNTREE'S JELLY TOTS | Price: LKR 5.99
Name: NERDS SOUR BIG CHEWY 170G | Price: LKR 5.99
Name: CADBURY WISPA BITES 95G | Price: LKR 7.49
Name: FRY'S TURKISH DELIGHT | Price: LKR 2.99
Name: FINI FILLED ROLLER TUTTI FRUTTI 40G | Price: LKR 2.99
Name: DAIRY MILK CARAMEL EUROPE 180G | Price: LKR 11.99
Name: SOUR SNEAKY STARDUST GUM POWDER | Price: LKR 4.99
Name: ROWNTREE'S FRUIT GUMS | Price: LKR 2.99
Name: REAL FRUIT PLANT BASED SOURS CITRUS BURST 180g | Price: LKR 5.99
Name: AERO DELIGHTFUL PEPPERMINT | Price: LKR 5.99
Name: CHARELESTON CHEW 99g | Price: LKR 4.89
Name: KINDER BUENO MINI 97G | Price: LKR 6.99
Name: SKITTLES BERRY BAIES 191g | Price: LKR 5.99
Name: BOUNTY BAR 57G | Price: LKR 2.89
Name: REESE'S PIECES 105g | Price: LKR 4.29
Name: LEMONHEAD ORIGINAL 142g | Price: LKR 5.14
Name: SKOOL BUS | Price: LKR 4.99
Name: CANDY RESCUE AMBULANCE | Price: LKR 4.99
Name: DISNEY FROZEN 2 EGG | Price: LKR 3.40
Name: JUNIOR CARAMELS 102G | Price: LKR 4.99
Name: TOOTSIE ROLL 85g | Price: LKR 4.52
Name: BUBBLE YUM ORIGINAL BIG | Price: LKR 3.99
Name: LEMONHEAD FRUIT MIX 142g | Price: LKR 5.14
Name: SOUR FLUSH BLUE RASPBERRY CANDY | Price: LKR 4.09
Name: COCOA PEBBLES MILK CHOCOLATE BAR 78g | Price: LKR 6.40
Name: DOTS SOUR 170g | Price: LKR 5.49
Name: LOL SURPRISE EGG | Price: LKR 3.40
Name: FRUITY PEBBLES BAR 78g | Price: LKR 6.40
Name: BARBIE CANDY BRACELET KIT | Price: LKR 4.99
Name: TOXIC WASTE MYSTERY FLAVOUR | Price: LKR 4.40
Name: TWIZZLERS BITES 141g | Price: LKR 5.49
Name: BUBBLE YUM COTTON CANDY BIG | Price: LKR 3.99
Name: BOSTON BAKED BEANS 122g | Price: LKR 5.49
Name: GALAXY MINSTRELS | Price: LKR 2.79
Name: DUBBLE BUBBLE | Price: LKR 5.64
Name: FINI FILLED ROLLER STRAWBERRY 40G | Price: LKR 2.99
Name: KINDER SURPRISE | Price: LKR 3.14
Name: JOLLY RANCHER HARD CANDY 198g | Price: LKR 5.99
Name: NERDS BIG CHEWY 170G | Price: LKR 5.99
Name: LOLLIPOP | Price: LKR 5.35
Name: KRABBY PATTIES WATERMELON 72g | Price: LKR 5.49
Name: TOXIC WASTE | Price: LKR 4.05
Name: HOT WHEEL SWEET RACER | Price: LKR 4.99
Name: NERDS ROPE TROPICAL 26g | Price: LKR 3.79
Name: FRUITY PEBBLES BIRTHDAY CAKE BAR 78g | Price: LKR 6.40
Name: NERDS GRAPE & STRAWBERRY 142g | Price: LKR 4.99
Name: MIKE AND IKE BERRY BLAST 141G | Price: LKR 4.99
Name: NERDS BIG CHEWY 120G | Price: LKR 4.99
Name: BABY BOTTLE POP | Price: LKR 4.05
Name: TAJUBO SOUR RAINBOW 80g | Price: LKR 3.99
Name: TAJUBO SOUR BLUE RASPBERRY 80g | Price: LKR 3.99
Name: M&M MIX 109 G | Price: LKR 6.29
Name: KITKAT POPCORN 48G | Price: LKR 3.79
Name: 59TH STREET COLA GUMMY 160G | Price: LKR 4.49
Name: DAIRY MILK MINI EGGS 152G | Price: LKR 8.99
Name: COFFEE CRISP VANILLA ICED CAPPUCCINO 50G | Price: LKR 3.49
Name: SKITTLES 90g | Price: LKR 4.99


Category: Gum
Name: WRIGLEY'S 5 PEPPERMINT COBALT 15 STICKS | Price: LKR 3.99
Name: WRIGLEY'S 5 WINTERMINT ASCENT 15 STICKS | Price: LKR 3.99
Name: TRIDENT 3 LAYERS 14 STICKS | Price: LKR 3.99
Name: WRIGLEY'S JUICYFRUIT 15 STICKS | Price: LKR 3.99
Name: WRIGLEY'S 5 SPEARMINT RAIN 15 STICKS | Price: LKR 3.99
Name: TRIDENT BUBBLEGUM 14 STICKS | Price: LKR 3.99
Name: WRIGLEY'S WINTER FRESH 15 STICKS | Price: LKR 3.89
Name: EXCEL WHITE SPEARMINT 12 PIECES | Price: LKR 2.89
Name: HUBBA BUBBA SOUR BLUE RASPBERRY 56g | Price: LKR 4.09
Name: EXCEL POLAR ICE 60 PIECES | Price: LKR 8.95
Name: CLAW HAMMER SPICY GINGER ROOT MINT 30g | Price: LKR 4.99
Name: TRIDENT PEPPERMINT 14 STICKS | Price: LKR 3.99
Name: CLAW HAMMER STRONG PEPPERMINT 30g | Price: LKR 4.99
Name: WRIGLEY'S JUICYFRUIT 60 PIECES | Price: LKR 8.93
Name: CLAW HAMMER BLACK LICORICE MINT 30g | Price: LKR 4.99
Name: DENTYNE ICE ARTIC BUBBLE 12 PIECES | Price: LKR 2.89
Name: BLACK JACK 5 STICKS | Price: LKR 2.38
Name: DENTYNE ICE SPEARMINT 12 PIECES | Price: LKR 2.89
Name: EXCEL WINTERFRESH 12 PIECES | Price: LKR 2.89
Name: EXCEL BUBBLEMINT 12 PIECES | Price: LKR 2.89
Name: DENTYNE ICE INTENSE 12 PIECES | Price: LKR 2.89
Name: EXCEL STRONG MINT 12 PIECES | Price: LKR 2.89
Name: DOUBLEMINT 15 STICKS | Price: LKR 3.50
Name: EXCEL WHITE BUBBLEMINT 12 PIECES | Price: LKR 2.89
Name: DENTYNE ICE MIDNIGHT MINT 12 PIECES | Price: LKR 2.89
Name: DENTYNE ICE PEPPERMINT 12 PIECES | Price: LKR 2.89
Name: EXCEL WHITE WINTERFRESH 12 PIECES | Price: LKR 2.89
Name: EXCEL POLAR ICE 12 PIECES | Price: LKR 2.89
Name: EXCEL SPEARMINT 12 PIECES | Price: LKR 2.89
Name: TRIDENT SPEARMINT 14 STICKS | Price: LKR 3.99
Name: TRIDENT TROPICAL TWIST 14 STICKS | Price: LKR 3.99
Name: TRIDENT LIME PASSIONFRUIT 14 STICKS | Price: LKR 3.99


Category: Imported Candy
Name: HARIBO S'GHETTI 142G | Price: LKR 5.89
Name: HARIBO KIRSCH COLA 200g | Price: LKR 6.29
Name: HARIBO BUNTE TUTE VEGGIE 175G | Price: LKR 6.89
Name: HARIBO PEACHES 142G | Price: LKR 6.89
Name: HARIBO KINDER SCHNULLER SAUER 200G | Price: LKR 6.79
Name: HARIBO DREIERKETTE 175G | Price: LKR 6.79
Name: SKITTLES TROPICAL 191G | Price: LKR 5.99
Name: HARIBO FRUITMANIA LEMON VEGGIE 175G | Price: LKR 6.89
Name: TWIX SALTED CARAMEL 40G | Price: LKR 3.69
Name: HARIBO BUNTE SCHNCKEN 160G | Price: LKR 6.89
Name: AIRHEADS XTREMES RAIBOW BERRY 170G | Price: LKR 6.99
Name: SUPERMAN S-SHIELD SOURS | Price: LKR 6.25
Name: SKITTLES GUMMIES ORIGINAL 164.4G | Price: LKR 8.74
Name: HARIBO INGWER-ZITRONE 175g | Price: LKR 6.29
Name: GUSTAF'S LICORICE FARM SEMI FIRM 150G | Price: LKR 5.99
Name: GUSTAF'S LICORICE BEAGLES BLACK 150G | Price: LKR 5.99
Name: GUSTAF'S LICORICE CANAL HOUSES SWEET BLACK 150G | Price: LKR 5.99
Name: SKITTLES GUMMIES BERRY 164G | Price: LKR 8.74
Name: HARIBO HAPPY CHHERIES 142g | Price: LKR 5.89
Name: HARIBO THE SMURFS SOUR 113G | Price: LKR 6.89
Name: HARIBO VAMPIRE 175G | Price: LKR 6.89
Name: LIONN COCONUT 40G | Price: LKR 2.99
Name: RIPS GRAPE 113G | Price: LKR 5.99
Name: HARIBO PHANTASIA 175G | Price: LKR 6.89
Name: ALMOND JOY 45G | Price: LKR 2.99
Name: HARIBO FIZZY COLA 142g | Price: LKR 5.89
Name: HARIBO STARMIX 142G | Price: LKR 6.89
Name: SIMPKINS BARLEY SUGAR DROPS 200g | Price: LKR 7.18
Name: 100 GRAND RICH CARAMEL 3 PIECE 63G | Price: LKR 5.99
Name: HARIBO SOUR KICKS 127g | Price: LKR 5.89
Name: SUPER MARIO BRICK BREAKIN CANDIES | Price: LKR 7.49
Name: LIONN PEANUT 41G | Price: LKR 2.99
Name: HARIBO HAPPY COLA 142g | Price: LKR 4.52
Name: SUGAR SKULLS | Price: LKR 6.59
Name: SOUR PUNCH BITES BLUE RASPBERRY 142G | Price: LKR 5.59
Name: HARIBO THE SMURFS 113g | Price: LKR 5.89
Name: HARIBO WATERMELON 117g | Price: LKR 6.29
Name: HARIBO GINGER LEMON 113g | Price: LKR 5.89
Name: HARIBO RAINBOW WORMS 142g | Price: LKR 5.89
Name: HARIBO MINI RAINBOW FROGS 142G | Price: LKR 5.89
Name: HARIBO BERRIES 142g | Price: LKR 5.89
Name: HARIBO DINOSAURS 142g | Price: LKR 5.89
Name: HARIBO ALPHABET LETTERS 142G | Price: LKR 6.89
Name: HARIBO TWIN SNAKES 142g | Price: LKR 5.89
Name: HARIBO TWIN SNAKES 142G | Price: LKR 6.89
Name: HARIBO FROGS 142G | Price: LKR 6.89
Name: HARIBO RAINBOW STRIPS 170 G | Price: LKR 6.29
Name: M&M'S COOKIE DOUGH 241G | Price: LKR 11.49
Name: TWIX COOKIE DOUGH 241G | Price: LKR 11.49
Name: SNICKERS COOKIE DOUGH 241G | Price: LKR 11.49
Name: MAYNARDS WINE GUMS UK 52G | Price: LKR 3.89
Name: SNICKERS COOKIE DOUGH 88G | Price: LKR 4.99
Name: SNICKERS ALMOND 49.9G | Price: LKR 3.49
Name: HI-CHEW FRUIT COMBOS 85G | Price: LKR 5.99
Name: RUNTS 148G | Price: LKR 4.99
Name: YUMMALLO MINI RAINBOW MARSHMALLOW 6.5OZ | Price: LKR 7.99
Name: YUMMALLO MICRO RAINBOW MARSHMALLOW 6OZ | Price: LKR 7.99


Category: More Candy
Name: MAYNARDS FUZZY PEACH 185g | Price: LKR 5.99
Name: ROWNTREE'S FRUIT PASTILLES 143G | Price: LKR 5.99
Name: MAYNARDS SWEDISH BERRIES 185g | Price: LKR 5.99
Name: MAYNARDS WINE GUMS 190g | Price: LKR 6.99
Name: SKITTLES GUMMIES 164G | Price: LKR 7.55
Name: REAL FRUIT SUPER FRUITS 180g | Price: LKR 5.99
Name: MAYNARDS WINE GUMS 170g | Price: LKR 5.99
Name: MAYNARDS ORIGINAL GUMMIES 170g | Price: LKR 5.99
Name: REAL FRUIT MEDLEY 180g | Price: LKR 5.99
Name: M&M PRETZEL 32.3G | Price: LKR 3.25
Name: ISLAND SNACKS NEON GUMMI BEARS 99g | Price: LKR 3.99
Name: MAYNARDS SOUR PATCH KIDS GRAPE RAISIN 185g | Price: LKR 5.99
Name: HI-CHEW ORIGINA MIX 100g | Price: LKR 5.99
Name: TWIZZLERS GUMMIES 182g | Price: LKR 5.99
Name: HI-CHEW SODA POP 80g | Price: LKR 5.99
Name: MAYNARDS SOUR PATCH KIDS CHERRY BLASTER 185g | Price: LKR 5.99
Name: LAFFY TAFFY WATERMELON 42.5G | Price: LKR 2.99
Name: CARAMILK 120g | Price: LKR 6.60
Name: M&M ALMOND SHARE SIZE 80.2G | Price: LKR 5.99
Name: HI-CHEW PLUSFRUIT 80g | Price: LKR 5.99
Name: M&M PEANUT BOX 87.9G | Price: LKR 4.99
Name: PINK CADILLACS MIX FRUITS 150g | Price: LKR 5.99
Name: LAFFY TAFFY GRAPE 42.5G | Price: LKR 2.99
Name: SOUR PUNCH FAN FAVOURITES 142g | Price: LKR 5.59
Name: HI-CHEW BERRY MIX 90g | Price: LKR 5.99
Name: REESE'S PEANUT 104g | Price: LKR 5.99
Name: LAFFY TAFFY STRAWBERRY 42.5G | Price: LKR 2.99
Name: M&M MILK CHOCOLATE BOX 87.9G | Price: LKR 4.99
Name: ISLAND SNACKS CHERRY SOUR BALLS 113g | Price: LKR 3.99
Name: ISLAND SNACKS CANDY CORN 99g | Price: LKR 3.99
Name: 4D GUMMY FAST FOOD 114g | Price: LKR 5.99
Name: ROWNTREES FRUIT GUMS 100g | Price: LKR 5.99
Name: ISLAND SNACKS JOLLY RANCHERS 70g | Price: LKR 3.99
Name: LAFFY TAFFY CHERRY 42.5G | Price: LKR 2.99
Name: M&M FUDGE BROWNIE 40G | Price: LKR 3.25
Name: MAYNARDS SOUR PATCH KIDS WATERMELON 180g | Price: LKR 5.99
Name: MAYNARDS SOUR PATCH KIDS HEADS 185g | Price: LKR 5.99
Name: ISLAND SNACKS ORANGE SLICES 170g | Price: LKR 3.99
Name: ISLAND SNACKS BUTTER SCOTCH 113g | Price: LKR 3.99
Name: LAFFY TAFFY BANANA 42.5G | Price: LKR 2.99
Name: 4D GUMMY FRUITS 114g | Price: LKR 5.99
Name: ISLAND SNACKS CIRCUS PEANUTS 70g | Price: LKR 3.99
Name: M&M PEANUT 49G | Price: LKR 2.99
Name: ISLAND SNACKS GUMMI WORMS 99g | Price: LKR 3.99
Name: BROADWAY ON WHEELS LICORICE 150g | Price: LKR 5.29
Name: UNICORNS GUMMIES 108g | Price: LKR 5.99
Name: ISLAND SNACKS APPLE RINGS 99g | Price: LKR 3.99
Name: NESTLE SMARTIES 203g | Price: LKR 9.38
Name: BROADWAY ON WHEELS STRAWBERRY 150g | Price: LKR 5.29
Name: CHARLESTON CHEW CHOCOLATEY 53G | Price: LKR 2.99
Name: SKITTLES BERRY BAIES 190g | Price: LKR 5.99
Name: M&M PEANUT 120g | Price: LKR 5.99
Name: ISLAND SNACKS STARLIGHT MINTS 141g | Price: LKR 3.99
Name: CHARLESTON CHEW VANILLA 53G | Price: LKR 2.99
Name: AERO MINIS 98g | Price: LKR 5.99
Name: CHARLESTON CHEW STRAWBERRY 53G | Price: LKR 2.99
Name: KIT KAT MINIS 180g | Price: LKR 9.38
Name: M&M MILK CHOCOLATE 120g | Price: LKR 5.99
Name: MAYNARDS WINEGUMS EUROPE | Price: LKR 3.49
Name: SOUR PUNCH SWEET BITES 142g | Price: LKR 5.99
Name: SOUR PATCH KIDS GRAPE 101g | Price: LKR 5.99


Category: Dairy Products
Name: DAIRYLAND 1% CHOCOLATE MILK JUG 1L | Price: LKR 5.29
Name: DAIRYLAND 0% MILK 2L | Price: LKR 6.35
Name: LARGE SIZE WHITE EGGS 12 | Price: LKR 7.49
Name: FRASER VALLEY SALTED BUTTER 250G | Price: LKR 7.49
Name: DAIRYLAND 3.25% MILK 1L | Price: LKR 3.99
Name: FRASER VALLEY UNSALTED BUTTER 250G | Price: LKR 7.49
Name: DAIRYLAND 10% CREAMO 473ML | Price: LKR 3.99
Name: DAIRYLAND 10% CREAMO 946ML | Price: LKR 6.19
